,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
2842,29,64,2,0,1,7,74,2,1,0,0,2,1,2,2,0,2,2,0,69
4317,27,92,1,2,0,10,96,2,1,0,1,2,1,1,2,0,2,0,1,70
2656,13,62,2,2,1,8,56,1,1,1,1,0,1,2,4,1,1,2,0,60
3668,19,65,1,2,0,8,93,1,1,1,2,0,0,1,4,0,0,2,1,64
6064,21,75,1,2,1,5,91,2,1,2,1,1,1,1,3,0,1,2,1,66
6551,27,68,1,1,1,8,80,0,1,3,2,2,1,2,4,1,1,2,1,66
4459,24,81,1,2,1,6,67,0,1,0,2,0,1,0,2,0,1,0,1,66
1347,26,61,0,2,1,9,95,2,1,0,2,2,0,0,6,0,0,2,1,67
5190,16,66,2,2,1,7,97,2,1,5,1,0,1,2,3,0,2,2,1,68
6246,23,71,2,2,1,6,63,1,1,1,1,0,1,2,5,0,1,1,1,66
2296,23,78,2,2,1,8,66,2,1,1,2,0,1,1,1,0,0,1,0,67
1233,35,90,0,2,1,7,92,1,0,0,1,2,0,1,4,0,1,2,1,73
3399,18,86,2,2,1,6,88,2,1,2,2,0,1,1,2,0,0,0,1,68
5975,16,79,2,2,1,6,67,1,0,2,2,0,0,2,3,0,0,2,1,65
1926,5,79,0,0,1,9,89,1,1,3,2,2,0,1,3,0,0,2,0,66
4562,15,85,0,2,0,7,82,0,1,2,2,2,1,0,4,0,1,0,1,67
4380,21,89,1,2,0,7,90,1,1,4,0,2,1,1,5,0,2,0,1,70
3667,24,77,0,0,1,7,88,1,1,1,0,2,1,0,5,0,0,2,1,71
6529,15,81,2,0,1,7,90,0,1,1,1,2,0,2,2,0,2,0,0,68
834,20,96,2,2,0,6,71,2,1,5,1,0,1,1,3,0,0,2,1,72
427,24,74,0,2,1,6,78,2,1,3,1,0,1,2,3,0,0,2,0,70
1213,25,62,2,2,0,10,84,1,1,2,1,2,1,2,3,0,0,2,0,65
2010,10,67,2,2,0,4,65,2,0,3,2,2,1,2,3,0,1,2,1,61
265,13,78,2,0,1,8,88,0,1,0,0,1,1,1,3,0,0,2,1,66
2128,24,90,2,2,0,7,58,2,1,2,1,2,0,1,2,0,2,2,1,70
688,24,89,2,0,1,5,68,2,1,0,1,0,1,2,2,0,2,2,0,71
3371,13,64,2,1,1,7,50,0,1,0,2,1,1,2,4,0,1,2,1,60
724,21,73,2,2,0,6,85,2,1,6,2,0,1,1,5,0,0,2,1,70
1323,23,69,2,2,1,6,58,0,1,0,2,2,1,1,1,0,2,2,0,65
5053,18,90,2,1,0,8,84,0,1,2,1,0,0,2,3,0,1,1,1,68
6424,17,84,0,0,0,9,70,2,1,1,0,2,1,0,4,0,1,2,1,68
203,26,96,2,2,1,7,68,2,1,3,0,2,0,2,3,0,0,2,0,74
1252,8,73,1,2,1,6,65,0,1,1,1,2,1,1,4,0,0,1,1,61
4858,21,83,2,2,0,6,95,0,1,4,0,0,1,1,2,0,1,0,0,70
3454,2,99,2,1,1,9,52,1,1,0,2,2,1,1,4,0,1,2,1,62
5579,20,81,1,2,0,6,54,1,1,0,1,1,1,2,2,0,0,1,0,63
6263,22,88,2,1,1,6,63,1,1,3,1,2,1,2,3,0,2,2,1,69
2399,20,74,0,2,0,7,68,0,1,3,2,2,1,2,4,0,1,0,1,68
3230,17,82,2,0,0,6,65,1,1,4,1,2,0,2,3,0,1,1,0,67
1747,23,86,2,2,0,8,91,2,1,0,1,2,1,0,0,0,1,2,1,67
6354,8,65,2,2,0,7,83,1,1,3,2,2,1,0,4,0,1,2,0,60
3430,23,97,2,0,0,7,73,2,0,3,1,2,0,0,1,0,1,1,1,69
1773,21,76,1,2,0,6,50,1,1,2,1,2,1,0,4,0,2,1,0,63
26,13,91,1,2,0,6,90,2,1,1,0,2,1,0,2,1,1,1,0,65
3548,13,64,0,0,1,7,62,2,1,1,1,2,1,1,1,0,0,1,0,62
3951,15,73,2,0,0,5,61,1,0,1,1,0,0,2,2,0,2,1,1,63
953,29,90,2,0,0,7,76,2,1,0,1,2,1,1,1,0,2,1,0,71
1477,23,68,2,0,1,7,71,0,1,3,2,2,1,2,3,0,1,1,0,68
5714,22,91,2,1,0,4,81,2,1,2,1,0,0,0,3,0,1,2,1,68
610,24,97,0,1,0,7,75,1,1,1,2,2,1,0,2,0,1,1,0,69
